SRR1039508	SRR1039509	SRR1039510	SRR1039511	SRR1039512	SRR1039513	SRR1039514	SRR1039515	SRR1039516	SRR1039517	SRR1039518	SRR1039519	SRR1039520	SRR1039521	SRR1039522	SRR1039523
ENSG00000000003	698	468	758	471	893	420	985	878	1180	1074	1114	1141	802	595	1125	872
ENSG00000000005	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ENSG00000000419	464	507	455	520	608	357	869	447	580	781	717	510	414	500	535	673
ENSG00000000457	258	206	237	227	262	163	328	217	242	330	294	199	230	229	248	277
ENSG00000000460	58	55	88	57	39	35	87	47	77	64	66	67	76	60	84	91
ENSG00000000938	0	0	0	0	2	0	0	1	1	0	1	0	0	0	0	2
ENSG00000000971	2910	3298	3437	3829	5574	3810	11155	5788	6063	9851	9953	5969	4610	7130	7519	9521
ENSG00000001036	1399	1042	1387	977	1691	863	1861	1506	1396	1402	1253	1160	1328	1085	1760	1379
ENSG00000001084	464	344	472	333	529	433	1068	563	719	614	533	577	608	616	741	744
ENSG00000001167	366	222	406	240	438	165	461	333	621	548	483	444	347	245	381	322
ENSG00000001460	170	166	148	172	258	116	275	232	235	207	188	112	151	172	214	212
ENSG00000001461	2105	1856	1949	1999	5111	2640	6570	4139	2713	2735	2583	2246	2460	2881	2889	3635
ENSG00000001497	519	488	568	471	634	355	834	525	673	805	668	423	491	471	614	702
ENSG00000001561	71	51	62	42	211	156	290	174	23	38	26	27	134	172	171	188
ENSG00000001617	550	391	583	394	891	410	786	556	720	688	690	563	615	586	790	689
ENSG00000001626	12	5	5	6	17	5	13	19	14	6	6	8	8	6	14	10
ENSG00000001629	1653	1243	1730	1330	2241	1071	2692	1997	2441	2490	2075	1915	1880	1648	2397	2079
ENSG00000001630	58	54	69	51	63	21	102	57	84	86	67	64	31	55	93	63
ENSG00000001631	112	103	118	121	168	84	197	141	167	177	147	107	126	128	150	158
ENSG00000002016	202	159	203	193	254	98	247	182	264	255	205	183	159	137	191	216
ENSG00000002079	3	0	2	1	3	1	2	2	2	0	3	3	0	0	1	1
ENSG00000002330	198	163	158	162	180	110	202	169	185	252	245	181	154	168	250	262
ENSG00000002549	1435	1259	1197	1306	1294	990	1745	1082	1420	1799	1507	1172	835	1014	1114	1349
ENSG00000002586	7341	7060	7413	7467	9216	6066	12005	7794	10711	12558	11817	8350	6665	7035	8043	9372
ENSG00000002587	2	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0
ENSG00000002726	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0
ENSG00000002745	4	6	2	5	22	10	46	14	2	1	2	2	5	3	6	10
ENSG00000002746	151	138	200	154	114	63	195	94	89	101	89	66	80	116	120	175
ENSG00000002822	0	3	0	0	1	0	1	1	0	0	0	0	0	0	0	3
ENSG00000002834	6275	6334	5956	6790	7779	5770	11682	6272	6629	11871	10648	5689	5719	7750	7839	9309
ENSG00000002919	231	241	233	272	295	208	468	220	214	373	320	244	183	255	276	325
ENSG00000002933	1221	1480	1072	1386	620	420	1000	581	25	25	21	17	67	106	77	157
ENSG00000003056	1167	934	1118	1079	1264	689	1647	977	1279	1535	1307	1005	947	893	1186	1194
ENSG00000003096	594	334	564	466	597	179	750	581	552	315	318	778	544	248	898	440
ENSG00000003137	124	57	101	52	256	63	120	163	30	44	47	31	192	67	211	167
ENSG00000003147	0	0	0	1	0	1	0	0	1	2	2	0	2	0	1	2
ENSG00000003249	81	70	91	57	212	80	163	144	110	115	116	85	157	128	190	161
ENSG00000003393	763	719	769	778	784	535	1443	775	1112	1501	1192	898	760	852	968	1052
ENSG00000003400	97	59	95	47	133	70	147	84	58	49	36	33	96	67	94	103
ENSG00000003402	1408	2580	1426	2435	1718	2336	5324	2005	2308	5100	4176	2039	1241	3688	1855	4425
ENSG00000003436	4342	4167	4751	4691	5752	3207	10862	6854	7296	4945	4964	5838	3421	3325	5436	4813
ENSG00000003509	291	281	293	270	361	192	454	297	391	405	379	276	251	255	356	415
ENSG00000003756	2079	1540	1955	1530	2335	1174	2739	1887	2310	2208	2024	1735	1711	1777	2252	2132
ENSG00000003987	17	25	21	21	25	29	50	34	20	51	41	14	12	27	22	32
ENSG00000003989	47	55	49	46	12	3	21	12	50	99	68	54	18	46	33	43
ENSG00000004059	1079	1294	974	1275	1128	813	1594	792	1317	1956	1679	941	1015	1331	1273	1882
ENSG00000004139	102	106	111	138	120	65	202	119	136	114	119	98	108	92	158	134
ENSG00000004142	1487	1540	1414	1538	1595	961	2070	1200	1742	2284	2150	1421	1124	1249	1490	1643
ENSG00000004399	4032	4224	3927	4547	3609	1629	5169	3414	5332	5931	5158	4221	2682	2788	3962	3922
ENSG00000004455	1072	994	991	1076	1333	686	1719	1058	1344	2052	1764	1083	912	823	1226	1242
ENSG00000004468	3	1	4	1	0	0	4	2	3	1	2	2	2	1	0	3
ENSG00000004478	500	455	496	475	551	283	658	384	615	658	592	422	399	389	545	529
ENSG00000004487	1394	976	1362	971	1477	722	1701	1203	1687	1587	1576	1270	1248	1025	1609	1318
ENSG00000004534	1187	1009	1259	1073	1825	912	1986	1500	1695	1682	1485	1243	1158	1006	1702	1366
ENSG00000004660	95	55	124	47	59	35	58	100	87	78	48	74	153	67	257	93
ENSG00000004700	854	975	904	1022	1037	687	2089	891	846	1302	1140	810	718	1071	1018	1428
ENSG00000004766	494	417	483	489	547	344	749	475	607	687	639	498	438	431	511	646
ENSG00000004776	3415	3037	2355	3151	2713	1589	3631	2139	2051	2193	2069	1419	3462	3050	3493	4318
ENSG00000004777	118	102	114	99	117	51	110	83	83	67	54	98	105	64	145	122
ENSG00000004779	319	329	305	330	488	254	555	336	407	564	456	351	284	318	375	428
ENSG00000004799	80	782	146	1060	129	1106	2403	342	235	484	382	153	625	3178	876	4274
ENSG00000004809	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000004838	9	9	12	11	18	5	9	10	10	14	11	7	11	6	22	14
ENSG00000004846	23	3	27	6	69	11	19	48	8	9	1	4	22	5	16	7
ENSG00000004848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004864	141	114	156	140	131	87	268	144	224	280	211	197	145	129	192	198
ENSG00000004866	431	253	454	297	743	237	570	474	516	489	390	378	389	296	520	363
ENSG00000004897	1525	1340	1615	1470	1715	1117	2819	1702	1778	2162	1887	1400	1331	1400	1801	1807
ENSG00000004939	0	0	0	0	2	0	1	0	1	0	1	0	0	0	1	0
ENSG00000004948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004961	443	329	362	339	529	285	644	395	657	595	604	525	356	400	459	426
ENSG00000004975	1362	999	1404	960	1064	515	1226	969	1232	1057	1047	1051	1018	833	1444	1072
ENSG00000005001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005007	2149	2252	2143	2365	2409	1503	3872	1927	2316	3281	2997	1874	1948	2475	2521	3252
ENSG00000005020	817	769	796	831	712	549	1327	648	627	819	723	431	762	893	926	1262
ENSG00000005022	1337	1057	1277	928	1319	783	1645	1114	1292	1446	1405	1127	919	972	1224	1126
ENSG00000005059	212	196	176	169	247	177	288	204	193	202	170	129	209	235	276	347
ENSG00000005073	1	0	0	0	1	0	1	2	1	1	3	0	0	0	2	2
ENSG00000005075	358	384	353	364	443	222	513	350	433	603	565	350	297	307	389	449
ENSG00000005100	434	440	416	449	484	355	839	421	520	693	611	369	376	622	474	762
ENSG00000005102	1	0	3	1	0	0	2	0	3	0	0	1	0	0	3	0
ENSG00000005108	9	7	15	10	5	8	22	14	9	20	17	10	12	15	33	23
ENSG00000005156	250	152	252	172	256	94	294	189	362	433	342	297	191	138	262	225
ENSG00000005175	363	329	432	375	261	135	316	210	528	496	458	410	367	316	527	428
ENSG00000005187	4	6	11	8	12	10	15	9	9	9	10	4	12	5	5	20
ENSG00000005189	82	62	77	72	87	58	123	75	91	52	71	57	93	71	97	159
ENSG00000005194	403	407	396	406	544	347	776	389	532	679	660	434	352	419	477	526
ENSG00000005206	482	424	440	428	565	313	639	425	538	740	630	438	433	433	622	584
ENSG00000005238	795	625	852	715	849	396	957	784	981	952	836	844	594	620	1080	898
ENSG00000005243	1101	880	1018	979	1270	732	1643	1043	933	1042	985	757	984	910	1167	1373
ENSG00000005249	219	237	243	272	279	316	589	283	290	387	364	379	206	410	374	574
ENSG00000005302	518	557	523	507	537	341	731	430	536	726	604	472	434	408	558	619
ENSG00000005339	2632	1912	2568	2044	3119	1485	4193	2507	3205	3944	3076	2299	2365	2540	3203	3178
ENSG00000005379	183	153	188	132	123	84	166	146	171	304	253	147	118	131	193	161
ENSG00000005381	4	10	3	6	9	1	8	4	0	3	3	6	6	3	7	4
ENSG00000005421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005436	200	210	235	215	266	173	389	235	314	401	294	210	221	239	298	349
ENSG00000005448	226	203	229	204	267	149	347	213	232	427	395	216	166	240	313	335
ENSG00000005469	498	376	506	377	305	170	381	283	625	507	445	497	513	468	663	628
ENSG00000005471	60	17	69	25	56	16	30	39	19	18	12	33	51	22	68	41
ENSG00000005483	1687	1474	1835	1607	1695	1097	2927	1677	2155	2543	2026	1658	1543	1777	2309	2245
ENSG00000005486	763	617	722	562	1103	560	1090	896	1175	1410	1174	872	757	681	977	800
ENSG00000005513	10	2	9	4	5	0	2	8	5	3	2	4	5	7	18	4
ENSG00000005700	1057	819	1042	988	1503	787	2185	1353	1328	1692	1412	1147	1149	1155	1525	1499
ENSG00000005801	225	196	287	180	334	153	364	288	348	328	287	240	232	173	262	311
ENSG00000005810	2436	1801	2819	2158	2357	1389	4626	2769	2656	3334	2498	2437	2018	2083	2718	2642
ENSG00000005812	1053	1066	968	1234	1073	1053	2341	1137	874	1419	1319	868	890	1303	1285	1641
ENSG00000005844	1	0	1	0	2	0	2	0	0	1	0	0	1	1	0	2
ENSG00000005882	603	540	614	547	737	407	723	515	811	769	737	546	642	698	857	1101
ENSG00000005884	702	651	668	626	1558	1101	1549	892	1311	2611	2228	916	1194	1449	1137	1775
ENSG00000005889	654	574	703	582	760	450	1298	761	847	1099	866	699	908	1012	1220	1159
ENSG00000005893	5062	4425	4858	4984	6145	3805	9119	5762	5566	6861	6107	4843	4671	5093	6237	6882
